
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="curgrade",="grade_inc",="log_1986_Earning",="log_1986_Earning",="log_1986_Earning",="log_1986_Earning"

="nonwhite",="-0.0572",="0.0550",="-0.211",="-0.208",="-0.207",="-0.208"
="",="(0.111)",="(0.0911)",="(0.0419)",="(0.0417)",="(0.0419)",="(0.0417)"

="viet_era",="-0.537",="0.202",="0.0548",="0.0841",="0.0835",="0.0844"
="",="(0.193)",="(0.159)",="(0.0742)",="(0.0742)",="(0.0749)",="(0.0745)"

="officer",="3.022",="-0.224",="0.284",="0.180",="0.207",="0.180"
="",="(0.130)",="(0.107)",="(0.0596)",="(0.0643)",="(0.0645)",="(0.0646)"

="drafted",="-0.111",="-0.265",="0.0510",="0.0377",="0.0290",="0.0377"
="",="(0.102)",="(0.0842)",="(0.0402)",="(0.0401)",="(0.0403)",="(0.0402)"

="curmar",="0.0488",="",="0.318",="0.322",="0.324",="0.322"
="",="(0.0840)",="",="(0.0331)",="(0.0330)",="(0.0332)",="(0.0331)"

="anyva",="1.586",="1.346",="",="",="0.0581",="-0.00131"
="",="(0.0735)",="(0.0605)",="",="",="(0.0294)",="(0.0326)"

="mardif",="",="0.108",="",="",="",=""
="",="",="(0.0571)",="",="",="",=""

="curgrade",="",="",="0.0653",="",="",=""
="",="",="",="(0.00758)",="",="",=""

="entgrade",="",="",="",="0.0956",="0.0848",="0.0957"
="",="",="",="",="(0.0105)",="(0.0104)",="(0.0107)"

="grade_inc",="",="",="",="0.0427",="",="0.0429"
="",="",="",="",="(0.00928)",="",="(0.0103)"

="N",="2388",="2388",="1964",="1964",="1964",="1964"
="R-sq",="0.34",="0.21",="0.19",="0.20",="0.19",="0.20"
="F_value",="4.301",="2.356",="4.439",="4.051",="4.086",="4.038"

="Standard errors in parentheses"
